Bill Date,Balance Forward,Current Charges,Account Balance
10/11/2022,$0.00,$8.40,$8.40
9/9/2022,$0.00,$8.35,$8.35
8/10/2022,$0.00,$8.35,$8.35
7/11/2022,$0.00,$8.35,$8.35
6/9/2022,$0.00,$8.35,$8.35
5/10/2022,$0.00,$8.35,$8.35
5/10/2022,$0.00,$8.35,$8.35
4/11/2022,$0.00,$8.35,$8.35
3/10/2022,$0.00,$8.35,$8.35
2/10/2022,$0.00,$8.35,$8.35
1/10/2022,$0.00,$8.35,$8.35
12/10/2021,$0.00,$8.35,$8.35
11/10/2021,$0.00,$8.35,$8.35
10/11/2021,$0.00,$8.35,$8.35
9/10/2021,$0.00,$8.35,$8.35
8/11/2021,$0.00,$8.35,$8.35
7/9/2021,$0.00,$8.35,$8.35
6/10/2021,$0.00,$8.35,$8.35
5/10/2021,$0.00,$8.35,$8.35
4/9/2021,$0.00,$8.35,$8.35
3/10/2021,$0.00,$8.35,$8.35
2/10/2021,$0.00,$8.35,$8.35
1/11/2021,$0.00,$8.35,$8.35
12/10/2020,$0.00,$8.35,$8.35
11/11/2020,$0.00,$8.35,$8.35
10/12/2020,$0.00,$8.35,$8.35
9/11/2020,$0.00,$8.35,$8.35
8/11/2020,$0.00,$8.35,$8.35
7/10/2020,$0.00,$8.35,$8.35
6/11/2020,$0.00,$8.35,$8.35
5/11/2020,$0.00,$8.35,$8.35
4/10/2020,$0.00,$8.35,$8.35
3/11/2020,$0.00,$41.44,$41.44
2/11/2020,$0.00,$8.35,$8.35
1/10/2020,$0.00,$8.35,$8.35
12/11/2019,$0.00,$8.35,$8.35
11/11/2019,$0.00,$8.35,$8.35
10/10/2019,$0.00,$8.35,$8.35
9/12/2019,$0.00,$8.35,$8.35
8/12/2019,$0.00,$8.35,$8.35
7/11/2019,$0.00,$8.35,$8.35
6/12/2019,$0.00,$131.38,$131.38
5/10/2019,$0.00,$129.30,$129.30
4/11/2019,$0.00,$248.02,$248.02
3/11/2019,$0.00,$287.86,$287.86
2/11/2019,$0.00,$427.18,$427.18
1/10/2019,$0.00,$328.51,$328.51
12/11/2018,$0.00,$263.71,$263.71
11/12/2018,$0.00,$165.53,$165.53
10/11/2018,$0.00,$135.23,$135.23
9/11/2018,$0.00,$136.54,$136.54
8/10/2018,$0.00,$140.83,$140.83
7/11/2018,$0.00,$112.39,$112.39
6/12/2018,$0.00,$136.43,$136.43
5/10/2018,$0.00,$163.79,$163.79
4/11/2018,$0.00,$292.12,$292.12
3/9/2018,$0.00,$289.72,$289.72
2/9/2018,$0.00,$441.72,$441.72
1/11/2018,$0.00,$426.97,$426.97
12/12/2017,$0.00,$248.02,$248.02
11/10/2017,$0.00,$130.57,$130.57
10/11/2017,$0.00,$109.80,$109.80
9/12/2017,$0.00,$124.15,$124.15
8/11/2017,$0.00,$120.93,$120.93
7/13/2017,$0.00,$124.26,$124.26
6/13/2017,$0.00,$125.76,$125.76
5/11/2017,$0.00,$138.60,$138.60
4/10/2017,$0.00,$221.42,$221.42
3/10/2017,$0.00,$213.60,$213.60
2/10/2017,$0.00,$279.36,$279.36
1/11/2017,$0.00,$323.37,$323.37
12/12/2016,$0.00,$177.39,$177.39
11/10/2016,$0.00,$98.55,$98.55
10/12/2016,$0.00,$101.01,$101.01
9/13/2016,$0.00,$98.55,$98.55
8/11/2016,$0.00,$66.29,$66.29
7/13/2016,$0.00,$28.30,$28.30
